3e-08,6e-08,0
3e-08,3e-08,3
2e-08,5e-08,0
1.6e-07,7e-08,4
2e-08,1.8e-07,6
1e-08,1e-07,8
1e-08,1.2e-07,12
1e-08,1.4e-07,10
1e-08,1.5e-07,19
1e-08,1.7e-07,16
1e-08,1.9e-07,35
1e-08,2.1e-07,27
1e-08,2.2e-07,48
1e-08,2.4e-07,36
1e-08,2.6e-07,61
1e-08,2.8e-07,49
1e-08,3e-07,70
1e-08,3.2e-07,58
1e-08,3.3e-07,93
1e-08,3.5e-07,78
1e-08,3.7e-07,111
2e-08,4e-07,99
2e-08,4.1e-07,136
1e-08,4.3e-07,126
2e-08,4.5e-07,172
1e-08,4.6e-07,150
2e-08,4.8e-07,210
1e-08,5e-07,179
1e-08,5.2e-07,236
2e-08,5.4e-07,205
2e-08,5.6e-07,270
2e-08,5.7e-07,233
2e-08,5.9e-07,300
1e-08,6.1e-07,253
1e-08,6.3e-07,330
2e-08,6.5e-07,292
1e-08,6.6e-07,355
2e-08,6.9e-07,320
2e-08,7.1e-07,415
2e-08,7.3e-07,356
2e-08,7.5e-07,465
2e-08,9.5e-07,401
2e-08,8.6e-07,503
2e-08,8.8e-07,447
3e-08,9.9e-07,558
2e-08,8.6e-07,488
1e-08,8.8e-07,584
2e-08,8.9e-07,517
2e-08,9.1e-07,626
2e-08,9.3e-07,548
2e-08,9.4e-07,660
2e-08,9.8e-07,595
2e-08,9.9e-07,690
2e-08,1.02e-06,626
2e-08,1.03e-06,744
2e-08,1.06e-06,677
3e-08,1.08e-06,813
2e-08,1.09e-06,735
2e-08,1.13e-06,860
2e-08,1.13e-06,775
2e-08,1.17e-06,900
2e-08,1.18e-06,833
2e-08,1.19e-06,947
2e-08,1.23e-06,890
2e-08,1.24e-06,981
2e-08,1.27e-06,920
2e-08,1.28e-06,1021
2e-08,1.31e-06,960
2e-08,2e-06,1070
2e-08,2.52e-06,997
4e-08,2.79e-06,1106
4e-08,1.94e-06,1039
3e-08,1.56e-06,1156
2e-08,1.98e-06,1075
4e-08,2.98e-06,1199
3e-08,3.7e-06,1102
5e-08,5.15e-06,1252
5e-08,2.81e-06,1126
3e-08,1.67e-06,1303
3e-08,1.79e-06,1182
3e-08,1.73e-06,1345
2e-08,1.75e-06,1232
2e-08,1.76e-06,1386
3e-08,1.78e-06,1290
2e-08,1.81e-06,1428
2e-08,1.82e-06,1331
2e-08,1.87e-06,1476
3e-08,1.88e-06,1384
2e-08,1.9e-06,1510
2e-08,2.33e-06,1435
3e-08,2.43e-06,1566
5e-08,3.68e-06,1493
5e-08,3.15e-06,1633
3e-08,2.02e-06,1536
3e-08,2.04e-06,1686
2e-08,2.03e-06,1569
2e-08,2.52e-06,1744
3e-08,2.61e-06,1622
3e-08,2.67e-06,1781
3e-08,2.68e-06,1670
4e-08,2.76e-06,1844
3e-08,3.01e-06,1726
4e-08,4.01e-06,1888
4e-08,5.23e-06,1791
4e-08,2.51e-06,1933
2e-08,2.12e-06,1845
2e-08,2.11e-06,1960
2e-08,2.14e-06,1888
2e-08,2.23e-06,1987
2e-08,2.17e-06,1935
2e-08,2.2e-06,2025
2e-08,2.23e-06,1981
2e-08,2.25e-06,2079
2e-08,2.27e-06,2031
2e-08,2.29e-06,2116
2e-08,2.31e-06,2074
2e-08,2.34e-06,2152
2e-08,2.36e-06,2114
2e-08,2.37e-06,2199
2e-08,2.39e-06,2140
1e-08,2.41e-06,2221
2e-08,2.44e-06,2183
2e-08,2.46e-06,2277
2e-08,2.46e-06,2217
2e-08,2.49e-06,2312
2e-08,2.53e-06,2256
2e-08,2.54e-06,2362
2e-08,2.59e-06,2315
2e-08,2.6e-06,2404
2e-08,3.22e-06,2365
3e-08,4.44e-06,2460
5e-08,4.2e-06,2409
4e-08,4.7e-06,2495
4e-08,5.42e-06,2449
4e-08,3.73e-06,2549
3e-08,2.74e-06,2505
2e-08,2.75e-06,2586
2e-08,3.61e-06,2554
3e-08,2.83e-06,2631
2e-08,2.81e-06,2600
2e-08,2.83e-06,2667
2e-08,2.84e-06,2632
2e-08,2.86e-06,2695
2e-08,2.92e-06,2667
2e-08,2.94e-06,2735
2e-08,2.94e-06,2694
2e-08,2.95e-06,2767
2e-08,2.96e-06,2729
2e-08,3.02e-06,2808
2e-08,3.03e-06,2767
2e-08,3.06e-06,2859
2e-08,3.08e-06,2828
1e-08,3.42e-06,2887
2e-08,3.13e-06,2876
2e-08,3.15e-06,2931
2e-08,3.39e-06,2919
3e-08,3.43e-06,2990
2e-08,3.45e-06,2960
3e-08,3.55e-06,3052
2e-08,3.24e-06,2992
2e-08,3.33e-06,3109
2e-08,3.29e-06,3046
2e-08,3.31e-06,3143
2e-08,3.34e-06,3080
2e-08,3.34e-06,3182
2e-08,3.37e-06,3151
2e-08,3.41e-06,3240
3e-08,3.66e-06,3224
2e-08,3.45e-06,3291
2e-08,3.48e-06,3261
2e-08,3.49e-06,3339
2e-08,3.53e-06,3327
2e-08,3.54e-06,3376
2e-08,3.57e-06,3381
2e-08,3.57e-06,3423
3e-08,3.62e-06,3452
3e-08,3.64e-06,3498
3e-08,3.69e-06,3533
3e-08,3.71e-06,3571
3e-08,3.73e-06,3608
2e-08,3.76e-06,3625
3e-08,3.79e-06,3687
3e-08,4.93e-06,3727
3e-08,4.29e-06,3772
3e-08,3.91e-06,3809
3e-08,3.88e-06,3867
3e-08,3.94e-06,3884
3e-08,4.29e-06,3941
3e-08,3.99e-06,3969
4e-08,4.06e-06,4062
4e-08,4.12e-06,4077
4e-08,4.13e-06,4159
4e-08,4.16e-06,4209
4e-08,4.18e-06,4282
4e-08,4.28e-06,4296
4e-08,4.32e-06,4407
4e-08,4.32e-06,4438
5e-08,4.39e-06,4574
4e-08,4.39e-06,4556
4e-08,4.46e-06,4729
4e-08,4.52e-06,4697
4e-08,4.61e-06,4862
5e-08,4.65e-06,4891
4e-08,4.7e-06,4997
6e-08,5.06e-06,5137
6e-08,5.17e-06,5218
6e-08,5.13e-06,5346
6e-08,4.92e-06,5471
5e-08,4.98e-06,5571
5e-08,5.06e-06,5665
6e-08,5.09e-06,5876
7e-08,5.16e-06,6012
6e-08,5.18e-06,6125
7e-08,5.34e-06,6395
6e-08,5.4e-06,6401
7e-08,5.4e-06,6757
7e-08,5.49e-06,6753
7e-08,5.57e-06,7108
7e-08,6.57e-06,7144
9e-08,7e-06,7539
8e-08,7.16e-06,7503
7e-08,5.95e-06,7938
7e-08,5.95e-06,7898
8e-08,6.03e-06,8398
9e-08,6.11e-06,8454
8e-08,6.32e-06,8880
7e-08,6.71e-06,8821
1.1e-07,6.33e-06,9612
1e-07,6.56e-06,9442
1.1e-07,6.6e-06,10395
1.2e-07,6.77e-06,10293
1.1e-07,6.95e-06,11202
1e-07,6.97e-06,10984
1.2e-07,7.25e-06,12074
1.1e-07,7.26e-06,11730
1.2e-07,8.57e-06,12942
1.8e-07,1.226e-05,13038
3.2e-07,1.621e-05,14123
2.9e-07,1.62e-05,14070
4.1e-07,1.672e-05,15717
2.5e-07,1.638e-05,14906
2.7e-07,1.43e-05,16966
4.6e-07,2.552e-05,17205
2.4e-07,1.381e-05,18186
2.4e-07,1.496e-05,18617
1.7e-07,1.067e-05,19344
2.1e-07,9.3e-06,20362
1.5e-07,9.55e-06,20530
2.3e-07,1.008e-05,22320
3e-07,1.042e-05,22881
1.7e-07,1.081e-05,23676
2.7e-07,1.123e-05,24979
3e-07,1.155e-05,26011
3.4e-07,1.173e-05,27678
2.7e-07,1.209e-05,28086
5e-07,2.059e-05,31825
6.4e-07,1.342e-05,33392
8.5e-07,1.292e-05,39735
7.8e-07,1.375e-05,40580
8e-07,1.443e-05,47100
5.2e-07,1.572e-05,45298
1.05e-06,1.824e-05,56870
1.11e-06,1.737e-05,55612
7.4e-07,1.76e-05,63713
6.2e-07,1.774e-05,61266
7.6e-07,1.966e-05,70747
7.9e-07,2.265e-05,68586
7e-07,2.1e-05,77198
6.7e-07,1.929e-05,74717
7.5e-07,2.249e-05,84072
7.7e-07,2.364e-05,81813
6.3e-07,2.403e-05,89806
7.6e-07,2.427e-05,88846
1.29e-06,2.481e-05,101897
8.1e-07,2.831e-05,96359
1.26e-06,2.462e-05,113736
7.5e-07,2.811e-05,103295
3.9e-07,3.246e-05,117156
6.9e-07,2.797e-05,109601
1.65e-06,3.056e-05,132707
1.16e-06,3.093e-05,120496
1.07e-06,3.325e-05,142687
8.6e-07,3.335e-05,128476
8.4e-07,3.796e-05,150499
1.14e-06,3.294e-05,139133
8.5e-07,3.64e-05,158335
1.03e-06,3.972e-05,148716
5.2e-07,3.929e-05,163064
8.2e-07,3.773e-05,156340
4.3e-07,4.206e-05,166846
2.9e-07,4.1e-05,158794
2.6e-07,3.916e-05,169053
4e-07,3.941e-05,162317
3.1e-07,7.576e-05,171722
5.9e-07,6.641e-05,164692
3.4e-07,3.901e-05,174706
2.4e-07,4.299e-05,166684
2.5e-07,4.021e-05,176820
2.2e-07,4.247e-05,168532
5.4e-07,4.224e-05,181667
4.7e-07,4.469e-05,172777
4.4e-07,3.682e-05,185593
6.5e-07,4.076e-05,178721
3.3e-07,4.193e-05,188505
2.8e-07,4.785e-05,181107
2.8e-07,4.347e-05,190836
2.6e-07,4.506e-05,183286
2e-07,4.099e-05,192419
1.5e-07,4.761e-05,184442
2e-07,4.319e-05,194005
2.4e-07,4.82e-05,186477
2.1e-07,4.462e-05,195682
4.1e-07,4.604e-05,190138
5.6e-07,4.461e-05,200787
3.8e-07,4.239e-05,193466
2.5e-07,4.836e-05,202938
3.9e-07,4.676e-05,195925
2.3e-07,5.104e-05,204877
2.6e-07,4.598e-05,198153
2.6e-07,4.817e-05,207090
2.9e-07,5.256e-05,200653
3.8e-07,5.288e-05,210463
3.6e-07,4.957e-05,203366
8.3e-07,5.129e-05,217545
6.3e-07,4.521e-05,209120
6.8e-07,4.885e-05,223731
4.8e-07,5.384e-05,213462
5.7e-07,5.373e-05,228943
7.4e-07,4.809e-05,220252
2.3e-07,4.951e-05,230865
5.5e-07,5.367e-05,225223
3.5e-07,5.53e-05,233905
2.7e-07,5.576e-05,227491
4.2e-07,5.732e-05,237667
8.1e-07,5.336e-05,235007
3.9e-07,7.622e-05,241150
8.4e-07,9.817e-05,238543
4.9e-07,5.653e-05,244282
2.8e-07,5.872e-05,240902
2.5e-07,5.451e-05,246358
6.8e-07,5.672e-05,247124
4.6e-07,5.569e-05,250425
5.3e-07,6.932e-05,251918
1.07e-06,0.0001306,254991
1.76e-06,0.00012243,259699
1.48e-06,8.103e-05,263039
4.8e-07,6.175e-05,263987
7.6e-07,6.214e-05,269963
4.5e-07,5.75e-05,267914
5.1e-07,6.635e-05,274517
3.6e-07,5.973e-05,270979
3.3e-07,5.797e-05,277308
3.7e-07,6.101e-05,274179
3.4e-07,6.395e-05,280159
4.1e-07,6.781e-05,277679
3.7e-07,6.621e-05,283331
4.6e-07,6.746e-05,281736
3e-07,6.155e-05,285819
3.8e-07,6.415e-05,285008
3.4e-07,6.879e-05,288628
1.9e-07,6.901e-05,286381
3.4e-07,0.00012617,291319
6.2e-07,0.00011581,288672
3.5e-07,7.097e-05,293319
7e-07,6.439e-05,294500
7.2e-07,7.104e-05,299326
4.4e-07,6.747e-05,298069
4.8e-07,7.097e-05,303230
3.5e-07,6.724e-05,300819
2.3e-07,6.346e-05,304983
2.3e-07,6.554e-05,302587
2.8e-07,7.296e-05,307144
2.9e-07,7.447e-05,304813
3.2e-07,7.004e-05,309654
2.5e-07,7.428e-05,306751
3.6e-07,7.146e-05,312580
3.3e-07,7.039e-05,309400
4.4e-07,7.009e-05,316142
3.6e-07,7.33e-05,312323
5.5e-07,7.166e-05,320732
5.1e-07,6.994e-05,316569
6e-07,7.281e-05,325768
1.14e-06,7.576e-05,326271
1.71e-06,7.719e-05,340415
4.09e-06,8.777e-05,358971
4.72e-06,7.996e-05,380034
2.72e-06,8.365e-05,382454
4.63e-06,8.506e-05,420133
2.78e-06,9.419e-05,406549
3.97e-06,9.41e-05,454679
2.25e-06,9.511e-05,426331
2.49e-06,9.545e-05,476661
2.09e-06,0.00010025,445231
2.06e-06,0.00010777,495378
2.13e-06,0.00010121,462776
2.52e-06,0.00010304,517687
2.5e-06,0.00010744,486281
3.28e-06,0.00011008,548792
7.88e-06,0.0001326,559427
2.194e-05,0.0001955,759357
