0,174,113
1,194,121
2,236,132
3,229,130
4,222,152
5,237,165
6,259,144
7,261,139
8,285,142
9,256,142
10,274,140
11,277,149
12,295,149
13,280,150
14,306,153
15,276,154
16,304,153
17,281,157
18,319,155
19,296,160
20,312,158
21,282,161
22,283,161
23,306,169
24,314,172
25,310,172
26,312,170
27,310,162
28,315,171
29,297,169
30,293,193
31,317,192
32,297,209
33,502,241
34,308,249
35,312,422
36,357,235
37,305,230
38,350,215
39,326,210
40,305,206
41,332,210
42,339,221
43,352,223
44,315,216
45,329,269
46,347,286
47,321,281
48,329,276
49,328,308
50,344,310
51,339,301
52,323,266
53,346,314
54,379,312
55,349,306
56,333,299
57,348,282
58,352,278
59,354,287
60,343,306
61,347,321
62,351,300
63,348,504
64,386,680
65,340,661
66,371,1038
67,360,528
68,354,464
69,380,378
70,365,351
71,395,294
72,363,295
73,363,509
74,373,372
75,395,300
76,353,259
77,362,249
78,387,237
79,438,247
80,393,246
81,425,259
82,455,261
83,519,335
84,449,360
85,500,360
86,586,321
87,789,361
88,906,326
89,589,398
90,741,372
91,511,562
92,597,476
93,525,548
94,503,1104
95,463,459
96,445,370
97,451,394
98,448,363
99,418,388
100,412,321
101,436,291
102,413,299
103,390,294
104,388,286
105,413,319
106,372,280
107,485,293
108,433,270
109,410,272
110,442,264
111,438,263
112,388,269
113,410,270
114,422,273
115,420,287
116,438,271
117,398,261
118,431,255
119,422,263
120,402,267
121,457,266
122,409,249
123,400,276
124,404,290
125,433,344
126,414,400
127,405,333
128,405,308
129,421,292
130,402,308
131,390,322
132,389,283
133,431,288
134,421,271
135,495,300
136,443,291
137,409,293
138,412,292
139,444,282
140,405,292
141,432,314
142,448,273
143,414,276
144,405,280
145,417,274
146,432,267
147,426,269
148,421,255
149,411,275
150,416,287
151,436,287
152,469,266
153,530,271
154,1207,272
155,1512,264
156,2186,279
157,1366,277
158,862,269
159,829,270
160,777,282
161,754,269
162,790,258
163,609,265
164,542,277
165,578,275
166,653,278
167,607,287
168,540,291
169,526,276
170,528,282
171,536,273
172,516,283
173,516,282
174,491,273
175,488,269
176,466,309
177,523,298
178,469,293
179,485,275
180,429,299
181,478,289
182,475,324
183,456,330
184,458,325
185,468,351
186,430,356
187,429,472
188,463,567
189,472,843
190,459,1134
191,449,835
192,485,913
193,541,1178
194,568,609
195,768,485
196,1220,585
197,1584,877
198,1369,534
199,745,419
200,642,384
201,577,372
202,568,356
203,547,331
204,540,325
205,542,340
206,523,331
207,523,333
208,500,344
209,492,317
210,503,331
211,494,321
212,494,328
213,455,308
214,505,320
215,475,297
216,505,305
217,515,315
218,487,284
219,484,296
220,600,299
221,614,340
222,610,349
223,637,319
224,543,313
225,668,329
226,565,296
227,546,313
228,813,312
229,1534,301
230,1030,304
231,859,295
232,740,305
233,602,311
234,655,288
235,545,318
236,584,294
237,539,307
238,526,296
239,545,290
240,495,299
241,510,297
242,508,293
243,484,301
244,484,303
245,514,314
246,492,291
247,438,311
248,455,305
249,454,296
250,456,290
251,500,301
252,472,911
253,447,306
254,496,298
255,451,310
256,429,307
257,432,309
258,447,302
259,445,314
260,516,456
261,890,407
262,3038,493
263,876,632
264,695,710
265,645,824
266,640,592
267,637,575
268,742,504
269,877,483
270,724,459
271,692,424
272,655,422
273,639,358
274,611,367
275,620,391
276,551,369
277,569,360
278,536,366
279,557,353
280,682,345
281,588,351
282,580,365
283,642,329
284,593,349
285,607,344
286,854,325
287,1013,350
288,1317,339
289,874,349
290,744,330
291,687,348
292,765,351
293,676,326
294,652,321
295,680,328
296,573,335
297,584,324
298,595,318
299,616,314
300,558,322
301,557,324
302,538,336
303,575,320
304,497,311
305,487,336
306,498,343
307,516,337
308,642,333
309,950,315
310,2014,320
311,937,345
312,701,313
313,662,334
314,750,314
315,607,642
316,615,506
317,609,537
318,553,830
319,611,862
320,530,1591
321,574,743
322,842,610
323,1063,797
324,968,789
325,789,468
326,695,467
327,662,439
328,676,678
329,1335,513
330,2322,529
331,1116,443
332,733,421
333,703,426
334,691,406
335,963,404
336,598,381
337,607,372
338,591,384
339,571,391
340,604,366
341,626,346
342,614,350
343,631,350
344,576,357
345,561,352
346,576,357
347,651,343
348,607,341
349,562,339
350,744,343
351,651,344
352,615,339
353,626,341
354,587,348
355,592,330
356,575,342
357,525,335
358,746,347
359,650,812
360,623,749
361,528,774
362,532,2109
363,588,849
364,537,557
365,711,468
366,573,447
367,538,441
368,543,432
369,578,430
370,699,394
371,839,400
372,1139,397
373,698,397
374,664,389
375,712,390
376,669,596
377,626,391
378,641,379
379,595,365
380,612,390
381,784,357
382,947,379
383,601,358
384,600,360
385,562,343
386,596,363
387,1324,353
388,1274,357
389,671,361
390,652,354
391,911,347
392,842,358
393,859,351
394,688,465
395,628,631
396,613,744
397,566,646
398,566,667
399,584,594
